CRN	one	r0	r1	r2	r3	r4	score
756	0.1729664922003264	0.13844329	0.01616722	34.16767972	73.73066258	0.0640961	0.4605723060751754
54	0.17388018552226758	0.02092518	23.53016711	0.05120692	0.07449642	49.70556903	0.46057208151969226
349	0.15548086059145363	0.01904107	0.01560332	18.95340666	0.01510372	40.40623922	0.46056269707699027
213	0.15663949071002561	37.2316734	0.09811827	0.01866636	0.16202284	75.61855068	0.4605624711509469
440	0.2526434245300306	0.01249151	3.49186352	0.04262203	7.43488638	0.01419053	0.4605518080476302
588	0.26949209855993234	0.19409819	0.01217438	25.56976131	50.58884263	0.01021142	0.4605506075089519
559	0.07642907420788166	0.01177552	14.06972464	0.01492675	29.56581692	0.02731276	0.4605465729401353
1344	0.30762821682076963	19.81750991	0.45931983	0.01027099	3.077083	0.02800556	0.46053230172865606
245	0.3552366544304298	0.13481541	13.39738544	0.01792616	28.09231405	0.02206916	0.46052862357764934
566	0.11759584542225615	43.56840829	0.07634866	0.01098794	90.89067179	0.01675408	0.4605116416864578
92	0.04930891188562537	0.02195967	25.22719224	0.01041998	0.04793131	54.2495829	0.4605086798335388
911	0.12677928081451698	0.01664404	41.18796405	0.03117544	0.06623396	90.51703409	0.46050284817164455
678	0.21971304684089274	0.02427408	0.06105427	33.50648966	68.31140293	0.17466747	0.4604882030857455
155	0.06502658924990312	36.95673947	0.0106528	0.21867169	0.0407782	74.63095815	0.4604767612156457
499	0.3526934001989462	0.01500584	17.07884535	0.0946154	36.82158171	0.02097068	0.46046812884986854
238	0.0918927476536009	0.02281796	19.19576267	0.01993365	39.78531398	0.0157896	0.46046560759601507
131	0.3021141465667257	0.01090744	20.161727	0.05389141	0.11339288	40.07374589	0.46046085745045817
983	0.0777863112801583	62.5046215	2.66195381	0.01799713	0.0424805	11.2420883	0.4604588980541884
988	0.23734858254360605	0.0215705	7.95453227	0.0159732	0.02185615	15.19754674	0.4604490872229671
488	0.09275881335629199	0.01731275	21.75168929	0.01243593	44.13236286	0.12498097	0.46044784556748014
18	0.3295157936233531	0.0261917	0.05286944	7.62509125	0.01270015	15.59960616	0.4604410585529298
783	0.27825758123143624	33.39443153	0.5180772	0.01174526	73.90422308	0.07799487	0.46043763359490275
1307	0.2709411581942637	26.3024512	0.0526706	1.13288022	0.03950863	4.52689874	0.4604201303137234
952	0.33757755533388306	0.21675501	25.42112518	0.01269604	0.02698823	55.56853742	0.46041661944320666
1024	0.2142395200685049	16.57203559	0.04151784	0.03195063	0.09663516	34.15984652	0.4603484277931132
621	0.2574683556468221	0.07352573	38.24169531	75.80642012	0.1478496	0.30010363	0.460339343647384
367	0.12789539305113465	0.01016443	0.01505007	13.88990109	28.12719874	0.02268219	0.4603336082132489
