crn	r0	r1	r2
10593	1301	0323	0012	0001
10594	1303	0103	0012	0001
10595	2302	0013	0002	0001
10596	0212	0301	0002	0001
10597	1223	1303	1103	0112
10598	1211	1202	1300	0112
10599	1211	1202	3300	0112
106	0023	0011	0003	0001
1060	1211	2303	1202	0112
10600	1211	1202	1301	0112
10601	1211	1202	0311	0112
10602	1213	1202	0311	0112
10603	1233	1202	0133	0112
10604	1233	1202	0113	0112
10605	1211	1202	0133	0112
10606	1213	1202	0133	0112
10607	1211	1202	0113	0112
10608	1213	1202	0113	0112
10609	1233	1223	0113	0112
1061	0312	0213	0212	0113
10610	1233	1223	0133	0112
10611	2333	1202	0133	0112
10612	2311	1202	0133	0112
10613	2313	1202	0133	0112
10614	2333	1202	0113	0112
10615	2311	1202	0113	0112
10616	2313	1202	0113	0112
10617	2333	2303	0111	0012
10618	2311	2303	0111	0012
10619	2313	2303	0111	0012
1062	1333	1211	1202	0112
10620	2333	2301	0111	0012
10621	2311	2301	0111	0012
10622	2313	2301	0111	0012
10623	2333	2300	0111	0012
10624	2311	2300	0111	0012
10625	2313	2300	0111	0012
10626	2333	2300	0111	0002
10627	2333	2302	0111	0012
10628	2311	2302	0111	0012
10629	2333	1303	0111	0012
1063	1311	1211	1202	0112
10630	2311	1303	0111	0012
10631	2313	1303	0111	0012
10632	2333	1301	0111	0012
10633	2311	1301	0111	0012
10634	2313	1301	0111	0012
10635	2333	3303	0111	0012
10636	2311	3303	0111	0012
10637	2313	3303	0111	0012
10638	2333	3301	0111	0012
10639	2311	3301	0111	0012
1064	1333	1211	0123	0112
10640	2313	3301	0111	0012
10641	2333	1303	0111	0002
10642	2311	1303	0111	0002
10643	2313	1303	0111	0002
10644	2333	3303	0111	0002
10645	2333	3301	0111	0002
10646	2311	3301	0111	0002
10647	2311	3303	0111	0002
10648	2313	3303	0111	0002
10649	2313	3301	0111	0002
1065	2333	1202	0123	0112
10650	2333	1301	0111	0002
10651	2311	1301	0111	0002
10652	2313	1301	0111	0002
10653	2311	1302	0111	0012
10654	2313	1302	0111	0012
10655	2333	3302	0111	0012
10656	2311	3302	0111	0012
10657	2313	3302	0111	0012
10658	2303	1301	0111	0102
10659	2301	1301	0111	0102
1066	2311	1202	0123	0112
10660	2303	3301	0111	0102
10661	2303	1301	0111	0012
10662	2303	3301	0111	0012
10663	2301	1301	0111	0012
10664	2303	1301	0111	0002
10665	2301	1301	0111	0002
10666	2303	3301	0111	0002
10667	2303	2301	0111	0012
10668	2303	2302	0111	0012
10669	2303	0223	0111	0012
1067	2313	1202	0123	0112
10670	2300	0222	0111	0012
10671	2303	0222	0111	0012
10672	2301	0222	0111	0012
10673	2300	0212	0113	0012
10674	2303	0212	0113	0012
10675	2301	0212	0113	0012
10676	2300	0212	0111	0012
10677	2303	0212	0111	0012
10678	2301	0212	0111	0012
10679	2301	0223	0111	0012
1068	1233	1202	0123	0112
10680	0211	0113	0112	0203
10681	0123	0113	0203	0001
10682	0333	0323	0211	0113
10683	3302	0300	0012	0011
10684	1302	0112	0111	0203
10685	1302	0112	0111	0200
10686	3302	0112	0111	0201
10687	3302	0112	0111	0203
10688	3300	0112	0111	0201
10689	3303	0112	0111	0201
1069	1233	1223	0123	0112
10690	3300	0112	0111	0301
10691	3303	0112	0111	0301
10692	3301	0112	0111	0301
10693	2301	0112	0111	0301
10694	2300	0112	0111	0301
10695	2303	0112	0111	0301
10696	3300	0112	0111	0300
10697	3303	0112	0111	0300
10698	3301	0112	0111	0300
10699	3311	0112	0111	0300
107	0023	0013	0003	0001
1070	1211	1202	0123	0112
10700	3313	0112	0111	0300
10701	2300	0112	0111	0300
10702	3300	0112	0111	0203
10703	3300	0112	0111	0200
10704	2300	0112	0111	0200
10705	3313	0112	0111	0200
10706	3303	0112	0111	0200
10707	3301	0112	0111	0200
10708	3311	0112	0111	0200
10709	3303	0112	0111	0203
1071	1213	1202	0123	0112
10710	3301	0112	0111	0203
10711	3313	0112	0111	0203
10712	3311	0112	0111	0203
10713	3301	0112	0111	0201
10714	3311	0112	0111	0201
10715	3313	0112	0111	0201
10716	1300	0112	0111	0203
10717	1303	0112	0111	0203
10718	1301	0112	0111	0203
10719	1300	0112	0111	0200
1072	1200	0133	0123	0112
10720	1303	0112	0111	0200
10721	1333	0112	0111	0200
10722	1301	0112	0111	0200
10723	1311	0112	0111	0200
10724	1333	0112	0111	0203
10725	1311	0112	0111	0203
10726	1300	0112	0111	0201
10727	1303	0112	0111	0201
10728	1333	0112	0111	0201
10729	1311	0112	0111	0201
1073	1203	0133	0123	0112
10730	1301	0112	0111	0201
10731	1300	0112	0111	0300
10732	1303	0112	0111	0300
10733	1300	0112	0111	0301
10734	1303	0112	0111	0301
10735	1333	0112	0111	0301
10736	1333	0112	0111	0300
10737	1100	0112	0111	0100
10738	1103	0112	0111	0100
10739	1133	0112	0111	0100
1074	1201	0133	0123	0112
10740	1333	0112	0111	0100
10741	1333	0112	0111	0103
10742	3311	0112	0111	0103
10743	1311	0112	0111	0103
10744	1113	0112	0111	0103
10745	3313	0112	0111	0103
10746	1133	0112	0111	0103
10747	1133	0123	0111	0103
10748	1122	0123	0111	0103
10749	1122	0123	0111	0100
1075	1211	1303	0123	0112
10750	1123	0123	0111	0100
10751	1202	1200	0112	0111
10752	1223	1203	0112	0111
10753	1223	1200	0112	0111
10754	2302	1200	0112	0100
10755	1202	1200	0112	0103
10756	1203	1200	0112	0103
10757	1203	1200	0112	0100
10758	1233	2303	0112	0100
10759	1203	2300	0112	0100
1076	0123	0103	0022	0001
10760	1203	3300	0112	0100
10761	1201	2300	0112	0100
10762	1201	1200	0112	0103
10763	1201	1200	0112	0100
10764	1201	1300	0112	0103
10765	1203	1300	0112	0103
10766	1203	1300	0112	0100
10767	1203	1301	0112	0103
10768	1203	1301	0112	0100
10769	1233	3300	0112	0100
1077	0323	0301	0022	0003
10770	1233	1202	0112	0300
10771	1203	1201	0112	0103
10772	1203	1201	0112	0100
10773	1203	1202	0112	0103
10774	1203	1202	0112	0100
10775	1203	1103	0112	0100
10776	1203	1100	0112	0103
10777	1203	1100	0112	0100
10778	1203	1101	0112	0100
10779	1203	1101	0112	0103
1078	0323	0313	0022	0003
10780	1233	1101	0112	0103
10781	2333	1101	0112	0100
10782	2303	1101	0112	0100
10783	2301	1101	0112	0100
10784	2311	1101	0112	0100
10785	2313	1101	0112	0100
10786	1201	1101	0112	0100
10787	1201	1101	0112	0103
10788	1211	1101	0112	0103
10789	1213	1101	0112	0103
1079	0323	0311	0022	0003
10790	2313	1311	0112	0100
10791	2333	1301	0112	0100
10792	2333	3301	0112	0100
10793	2311	1301	0112	0100
10794	2311	3301	0112	0100
10795	2313	1301	0112	0100
10796	2313	3301	0112	0100
10797	1211	1113	0112	0103
10798	1213	1113	0112	0103
10799	1211	1113	0112	0100
108	0023	0013	0003	0002
1080	0312	0311	0022	0003
10800	1213	1113	0112	0100
10801	2303	1301	0112	0100
10802	2303	3301	0112	0100
10803	2301	1301	0112	0100
10804	2303	2301	0112	0100
10805	2303	1201	0112	0100
10806	2301	1201	0112	0100
10807	2303	2300	0112	0100
10808	2301	2300	0112	0100
10809	2303	2302	0112	0100
1081	0312	0311	0111	0003
10810	2303	1200	0112	0100
10811	2301	1200	0112	0100
10812	2303	1202	0112	0100
10813	2301	1202	0112	0100
10814	2301	1202	0112	0103
10815	1213	1202	0112	0103
10816	2303	1203	0112	0100
10817	2301	1203	0112	0100
10818	2333	2303	0112	0100
10819	1211	2303	0112	0100
1082	0312	0311	0111	0002
10820	2311	2303	0112	0100
10821	2313	2303	0112	0100
10822	1233	1100	0112	0103
10823	1211	1302	0112	0103
10824	1213	1302	0112	0103
10825	1202	3300	0112	0103
10826	1202	1300	0112	0103
10827	1202	1100	0112	0103
10828	1222	1100	0112	0103
10829	1201	1100	0112	0103
1083	0312	0311	0113	0002
