crn	r0	r1	r2
1582	1303	0213	0111	0100
1583	0312	0111	0102	0100
1584	1201	0111	0300	0100
1585	0313	0211	0111	0100
1586	0312	0212	0111	0100
1587	0333	0312	0111	0100
1588	0333	0322	0111	0100
1589	1203	1200	0111	0100
159	3323	2203	0111	0100
1590	0312	0213	0111	0100
1591	0233	0313	0111	0100
1592	0322	0312	0111	0100
1593	0312	0211	0111	0100
1594	1303	0111	0102	0100
1595	1301	0111	0102	0100
1596	1203	0123	0111	0100
1597	1203	0111	0201	0100
1598	1301	0111	0201	0100
1599	0323	0313	0111	0100
16	0111	0103	0200	0100
160	3323	2233	0111	0100
1600	0312	0311	0111	0100
1601	1203	2200	0111	0100
1602	0222	0313	0111	0100
1603	0322	0313	0111	0100
1604	1302	0111	0102	0100
1605	1301	0111	0300	0100
1606	1213	1202	0111	0100
1607	0323	0311	0111	0100
1608	0322	0311	0111	0100
1609	1213	0111	0102	0100
161	3312	1213	0111	0100
1610	1300	0111	0102	0100
1611	1312	0111	0102	0100
1612	1213	0111	0201	0100
1613	1301	0111	0200	0100
1614	2203	1203	0111	0100
1615	3303	2203	0111	0100
1616	1201	0323	0111	0100
1617	1213	0111	0300	0100
1618	1202	0111	0200	0100
1619	2313	2302	0111	0100
162	3323	2213	0111	0100
1620	2213	2302	0111	0100
1621	1213	0111	0301	0100
1622	1202	0111	0201	0100
1623	3313	2303	0111	0100
1624	2301	0223	0111	0100
1625	3301	0223	0111	0100
1626	1200	0111	0200	0100
1627	1302	0111	0300	0100
1628	3313	2302	0111	0100
1629	2303	0223	0111	0100
163	3312	2213	0111	0100
1630	3303	0223	0111	0100
1631	2313	0223	0111	0100
1632	2313	3303	0111	0100
1633	2313	1302	0111	0100
1634	2302	0223	0111	0100
1635	1202	0323	0111	0100
1636	3303	1203	0111	0100
1637	3301	1203	0111	0100
1638	3301	1201	0111	0100
1639	3301	2201	0111	0100
164	3323	3313	0111	0100
1640	3301	2200	0111	0100
1641	3300	2200	0111	0100
1642	3311	2200	0111	0100
1643	3301	0211	0111	0100
1644	3300	0211	0111	0100
1645	3311	2201	0111	0100
1646	3301	1200	0111	0100
1647	3311	1200	0111	0100
1648	3300	1200	0111	0100
1649	3311	1201	0111	0100
165	3322	3313	0111	0100
1650	3301	0213	0111	0100
1651	3300	0213	0111	0100
1652	3301	0233	0111	0100
1653	3300	0233	0111	0100
1654	3311	2203	0111	0100
1655	3311	1203	0111	0100
1656	3303	1201	0111	0100
1657	3313	1201	0111	0100
1658	3303	2201	0111	0100
1659	3313	2201	0111	0100
166	2322	3313	0111	0100
1660	3313	2200	0111	0100
1661	3313	2211	0111	0100
1662	3303	2200	0111	0100
1663	3303	1200	0111	0100
1664	3313	1200	0111	0100
1665	3313	2213	0111	0100
1666	3313	1203	0111	0100
1667	3313	2203	0111	0100
1668	3302	1203	0111	0100
1669	3302	2203	0111	0100
167	2223	3313	0111	0100
1670	3322	1203	0111	0100
1671	3322	2203	0111	0100
1672	3322	1200	0111	0100
1673	3322	2200	0111	0100
1674	3302	1200	0111	0100
1675	3302	2200	0111	0100
1676	3302	1201	0111	0100
1677	3322	1201	0111	0100
1678	3322	2201	0111	0100
1679	3302	2201	0111	0100
168	2333	3313	0111	0100
1680	3303	0213	0111	0100
1681	3303	0233	0111	0100
1682	3302	0213	0111	0100
1683	3302	0211	0111	0100
1684	3302	0233	0111	0100
1685	3303	0211	0111	0100
1686	3313	0213	0111	0100
1687	3313	0233	0111	0100
1688	3313	0211	0111	0100
1689	3312	0213	0111	0100
169	2233	3313	0111	0100
1690	3312	0233	0111	0100
1691	3312	0211	0111	0100
1692	1302	0111	0301	0100
1693	1300	0111	0301	0100
1694	1300	0111	0300	0100
1695	1302	1201	0111	0100
1696	1302	1200	0111	0100
1697	1322	1200	0111	0100
1698	1322	1201	0111	0100
1699	1322	2201	0111	0100
17	0111	0103	0300	0100
170	0333	0111	0203	0100
1700	1322	2200	0111	0100
1701	1300	0211	0111	0100
1702	1302	0211	0111	0100
1703	1300	1200	0111	0100
1704	1302	2200	0111	0100
1705	1311	2201	0111	0100
1706	1312	2201	0111	0100
1707	1312	2200	0111	0100
1708	1311	2200	0111	0100
1709	1301	0211	0111	0100
171	0333	0111	0103	0100
1710	1312	0211	0111	0100
1711	1311	1201	0111	0100
1712	1311	1200	0111	0100
1713	1312	1201	0111	0100
1714	1312	1200	0111	0100
1715	1301	0113	0111	0100
1716	1301	0133	0111	0100
